"AI catastrophe","AI extinction","Nuclear catastrophe","Nuclear extinction","Non-anthropogenic catastrophe","Non-anthropogenic extinction","Total catastrophic risk","Total extinction risk"
2,1,10,1,10,0.002,15,1e-05
0,0,0.003,1e-04,0.06,0,0.04,0
2,2,3,1,1,0.001,12,1
3,5,2,1,0.05,0.05,10,3
0.1,0.09,0.4,0.14,0.08,0.1,0.3,0.25
1,0.1,20,10,25,0.2,10,1
1,1,3,0,1,1,3,3
10,6,10,6,5,3,6,4
7,5,5,1,0.5,0.3,10,5
3,5,15,1,10,3,35,35
0.05,0.003,20,2,0.5,0.03,15,1
1,0,1,0,1,0,4,0
5,1,60,15,10,5,25,0
0,0,25,0,35,0,100,0
30,20,15,10,0.1,0.1,2.5,1.5
12,12,12,12,13,13,12,13
15,10,6,0.5,0.004,0.004,20,13
5,5,15,5,35,5,50,5
5,4,8,1,4,2,5,3
2,8,60,10,20,0.1,50,15
8,6,7,4,1,2,19,2
1,1,2,2,2,2,2,1
2,0,7,0,20,0,33,2
11,24,16,19,15,18,25,18
5,3,12,8,0.5,0.3,0.97,0.7
0,0,2,0,3,0,15,0
5,1,10,5,1,1,5,1
25,5,20,1,50,5,20,1
3,1,15,8,5,3,5,3
10,5,20,10,0.02,0.001,20,5
3,0.1,15,5,1,0.1,0.1,0.01
40,20,25,10,30,10,70,20
6,5.2,11,1.4,0.9,0.6,12,9
10,5,12,1.5,6,0.1,90,30
1,0,8,3,10,1,7,0.5
1,1,2,1,0,0,1,1
0,0,4,1,1,0,0,0
20,5,15,4,3,1,35,4
8,4,15,1,40,3,22,0.05
10,50,10,10,80,50,30,60
5,3,5,0,1,0,2,2
5,0.5,10,3,0.1,0.1,20,1
0.05,0,0.02,0,0.02,0,0.012,0
30,10,25,20,10,15,12,20
30,10,40,10,10,5,35,9
2,1,60,1,10,1,65,8
0,0,2,1,0,0,0,0
5,2,4,0.1,4,0.1,30,6
2,5,10,0.05,0.005,0.001,5,0.3
0,1,20,0.1,1,1,50,1
4,2,0.05,0.03,0.5,0.35,10,3
15,3,10,1,1,1,15,8
5,5,1,1,0.56,0.5,2,1
1,0,30,4,1,1,6,6
1e-05,0,1,0.5,0.5,1,1,0.005
5,5,20,20,0.5,0.5,15,15
0.5,0.09,10,5,10,0.85,1,0.75
20,0,30,0,0,0,20,1
10,5,10,8,8,5,30,8
1,1,5,0.5,0,0,5,1
3,1e-04,10,6,4,2,21,14
60,70,70,75,60,60,70,70
6,1,6,50,5,2,30,20
50,30,10,5,5,2,15,10
25,75,10,10,90,60,10,10
20,30,17,17,10,18,1,2
6,0.008,0.01,7e-04,6e-06,6e-07,0.6,0.06
0.003,0,0,0,0,0,0,0
5,0,20,0,5,0,5,0
5,5,20,0.5,13,0.5,15,1.5
6,5,6,1.5,1.5,0.1,9,2
2e-04,1e-04,0.01,2e-04,0.03,2e-04,30,0.3
6,5,11,9,1,0.2,11,13
6,6,9,10,1,1,10,10
30,3,40,40,0.1,1e-04,40,5
0.001,0.001,1,0.1,0.001,0.001,1,0.1
2,0,1,0,0,1,0,0
0.01,0.01,1,1.5,0.2,0.01,24,1
25,30,29,15,15,15,15,5
2,4.5,50,50,5,3.5,25,2.5
10,0,25,10,0.05,0.01,12,10
10,5,15,1,0.7,0.09,25,18
20,5,50,75,80,50,100,69
15,9,19,5,4,3,20,10
0,0,0,0,0,0,0,0
0.07,0.005,30,5,5,0.05,0.7,0.01
0,0,3,1,0,0,15,1
10,5,1,0.03,0.09,0.002,12,10
7,5,15,10,30,10,5,1
5,55,5,5,5,5,5,5
5,1,35,15,20,8,40,10
2,1,3,0.2,0.05,0.02,7,5
7.5,5,25,1,2,0.5,50,1
10,18,20,15,40,10,5,9
0.003,1e-04,5,0.3,8,0.5,8,1
6,0.8,1.1,0.5,0.15,0.09,7,1
1,1,25,2.5,0.03,0.05,3,2
15,20,30,20,0.05,0.05,10,5
0.1,0.05,4,4,4,2,5,2
5,0.5,10,0.5,0.01,0.1,5,10
88,66,54,69,88,87,88,70
10,15,30,30,10,12,30,10
2,1,45,2,1.5,1,20,1.5
4e-04,4e-06,4e-04,4e-05,4e-04,4e-05,0.06,0.006
30,25,15,6,30,18,40,25
6,5,20,5,5,3,2,3.5
5,5e-07,1,0.001,50,0.1,0.09,0.09
20,20,13,20,70,95,99,85
55,55,45,45,5,5,35,35
5,0,30,5,20,5,4,2
6,3,15,7,7,2,15,13
0,0,2,0,2,1,5,0.1
15,7,30,7,3,1,30,7
10,10,0.5,0.03,0,0,1,5
